X,Y,OBJECTID,naziv,vrsta,adresa,telefon,fax,email,web,osnivac,kampus,sjediste,nadlezan
16.030636988,45.826410896,1,Agronomski fakultet,Fakultet,Svetošimunska cesta 25,01 239 3777,01 231 5300,dekanat@agr.hr,www.agr.hr/index.htm,Državni,Istočni,Sjedište,Sveučilište u Zagrebu
15.9704146610001,45.808674631,2,Akademija dramske umjetnosti,Umjetnička akademija,Trg Republike Hrvatske 5,01 482 8506,01 482 8508,dekanat@pomet.adu.hr ,www.adu.hr,Državni,Središnji,Sjedište,Sveučilište u Zagrebu
15.96277366,45.811450011,3,Akademija likovne umjetnosti,Umjetnička akademija,Ilica 85,01 377 7300,01 377 3401,alu@alu.hr,www.alu.hr ,Državni,Središnji (SKALU),Sjedište,Sveučilište u Zagrebu
15.963629767,45.8086418120001,4,Arhitektonski fakultet,Fakultet,Kačićeva ulica 26,01 463 9222,01 482 8079,info@arhitekt.hr,"www.arhitekt.hr
""",Državni,Sjeverni,Sjedište,Sveučilište u Zagrebu
15.963629767,45.8086418120001,5,Građevinski fakultet,Fakultet,Kačićeva ulica 26,01 463 9222,01 463 9206,pisarnica@grad.hr,www.grad.unizg.hr,Državni,Središnji,Sjedište,Sveučilište u Zagrebu
15.963629767,45.8086418120001,6,Geodetski fakultet,Fakultet,Kačićeva ulica 26,01 463 9222,01 482 8081,referada@geof.hr,www.geof.unizg.hr,Državni,Središnji,Sjedište,Sveučilište u Zagrebu
16.042344971,45.8116627200001,7,Edukacijsko-rehabilitacijski fakultet,Fakultet,Borongajska cesta 83F,01 245 7500,01 245 7559,dekan@erf.hr,www.erf.unizg.hr,Državni,Istočni (ZUK Borongaj),Sjedište,Sveučilište u Zagrebu
15.969658725,45.8071871810001,8,Fakultet kemijskog inženjerstva i tehnologije,Fakultet,Trg Marka Marulića 19,01 459 7281,01 459 7260,"office@fkit.hr

",www.fkit.unizg.hr,Državni,Istočni (ZUK Borongaj),Sjedište,Sveučilište u Zagrebu
15.988866767,45.8261224440001,9,Prirodoslovno - matematički fakultet,Fakultet,Horvatovac 102A,01 460 6000,01 460 6013,dekanat@dekanat.pmf.hr,www.pmf.unizg.hr,Državni,Sjeverni,Sjedište,Sveučilište u Zagrebu
16.0115041550001,45.81600746,10,Ekonomski fakultet,Fakultet,Trg Johna Fitzgeralda Kennedya  6,01 238 3333,01 233 5633,dekan@efzg.hr,www.efzg.unizg.hr/default.aspx,Državni,Istočni,Sjedište,Sveučilište u Zagrebu
15.9709074130001,45.8011352710001,11,Fakultet elektrotehnike i računarstva,Fakultet,Unska ulica 3,01 612 9999,01 617 0007,fer@fer.hr,www.fer.unizg.hr,Državni,Središnji,Sjedište,Sveučilište u Zagrebu
15.992989983,45.8077966180001,12,Fakultet političkih znanosti,Fakultet,Ulica Ivana Lepušića 6,01 464 2000,01 465 5316,dekanat@fpzg.hr,www.fpzg.unizg.hr,Državni,Istočni (ZUK Borongaj),Sjedište,Sveučilište u Zagrebu
16.0093597810001,45.81438566,13,Fakultet prometnih znanosti,Fakultet,Ulica Lavoslava Vukelića 4,01 238 0222,01 231 4415,fpz@fpz.hr,www.fpz.unizg.hr,Državni,Istočni (ZUK Borongaj),Sjedište,Sveučilište u Zagrebu
15.9713816230001,45.7952836540001,14,Fakultet strojarstva i brodogradnje,Fakultet,Ulica Ivana Lučića 5,01 616 8222,01 615 6940,fsb@fsb.hr,www.fsb.unizg.hr,Državni,Središnji,Sjedište,Sveučilište u Zagrebu
15.9758268750001,45.8085949420001,15,Farmaceutsko-biokemijski fakultet,Fakultet,Ulica Ante Kovačića 1,01 481 8288,01 639 4400,dekanat@pharma.hr,www.pharma.hr ,Državni,Sjeverni,Sjedište,Sveučilište u Zagrebu
15.971306511,45.796588463,16,Filozofski fakultet,Fakultet,Ulica Ivana Lučića 3,01 612 0111,01 615 6879,ffzg@ffzg.hr,www.ffzg.hr,Državni,Središnji,Sjedište,Sveučilište u Zagrebu
15.9698086400001,45.8105882950001,17,Sveučilište u Zagrebu,Sveučilište,Trg Republike Hrvatske 14,01 456 4111,01 483 0602,unizg.info@unizg.hr,www.unizg.hr,Državni,Središnji,Sjedište,Sveučilište u Zagrebu
16.029807776,45.805919171,18,Grafički fakultet,Fakultet,Getaldićeva ulica 2,01 237 1080,01 237 1077,info@grf.hr,www.grf.unizg.hr,Državni,Istočni (ZUK Borongaj),Sjedište,Sveučilište u Zagrebu
16.0436560960001,45.8123908600001,19,Hrvatski studiji,Sveučilišni centar,Borongajska 83D,01 245 7600,01 245 7636,info@hrstud.hr ,www.hrstud.unizg.hr,Državni,Istočni (ZUK Borongaj),Sjedište,Sveučilište u Zagrebu
15.9823116470001,45.813733364,20,Katolički bogoslovni fakultet,Fakultet,Vlaška ulica 38,01 489 0400,01 481 4704,kbf@theo.kbf.hr ,www.kbf.hr,Državni,Sjeverni,Sjedište,Sveučilište u Zagrebu
15.944520739,45.78484984,21,Kineziološki fakultet,Fakultet,Horvaćanski zavoj 15,01 365 8666,01 363 4146,dekanat@kif.hr,www.kif.unizg.hr,Državni,Zapadni,Sjedište,Sveučilište u Zagrebu
15.9850611300001,45.8189743140001,22,Medicinski fakultet,Fakultet,Šalata 3B,01 456 6777,01 492 0053,mf@mef.hr,www.mef.hr,Državni,Sjeverni,Sjedište,Sveučilište u Zagrebu
