Broj upisnog lista;Naziv kazalista;Telefon kazalista;Fax kazalista;Email kazalista;Zupanija;Grad;Adresa kazalista;Status kazalista;Web kazalista;Naziv osnivaca kazalista;Zupanija osnivaca;Grad osnivaca;Adresa osnivaca;Naziv pravne osobe;Zupanija pravne osobe;Grad pravne osobe;Adresa pravne osobe;Tel pravne osobe;Fax pravne osobe;Email pravne osobe;Broj akta o osnivanju;Datum osnivanja akta;Broj statuta;Datum statuta;Broj upisa u registar;Datum upisa u registar;Intendant ravnatelj;Broj akta o imenovanju;Datum imenovanja intendanta;Popis članova;Napomena;
KAZ-261;Umjetnička organizacija Kazališna družina "Gradu i svijetu-Urbi et Orbi"   ;098/812911;;rkurbi@gmail.com;Zagrebačka;Samobor;Mirnovečka ulica 6a, Velika Rakovica;Umjetnička organizacija;;Robert Kurbaša, Enes Kišević;;;;;;;;;;;;14.4.2022. 0:00:00;;14.4.2022. 0:00:00;574;27.4.2022. 0:00:00;Robert Kurbaša;KLASA: UP/I-611-09/22-01/0017;27.4.2022. 0:00:00;;;
KAZ-096;Kazališna družina "Don Hihot";091/ 781 51 05;;lanabitenc@yahoo.com;Zagrebačka;Ivanić-Grad;Ljudevita Gaja 8;Umjetnička organizacija;;Lana Bitenc, Otokar Levaj;;;Krešimira IV 12 (Ivanić-Grad), Vojnovićeva 33 (Zagreb);;;;;;;;Odluka;18.5.2010. 0:00:00;Statut;18.5.2010. 0:00:00;266;14.6.2010. 0:00:00;Lana Bitenc;Klasa: UP/I-612-01/10-01/0016;14.6.2010. 0:00:00;;;
KAZ-252;Umjetnička organizacija Kazališna družina LOM teatar  ;+385 95 890 36 99;;mirkoilibasic@gmail.com;Osječko-baranjska;Đakovo;Kolodvorska 55;Umjetnička organizacija;;Mirko Ilibašić, Eugen Stjepan Višić;;;;;;;;;;;;15.12.2021. 0:00:00;;15.12.2021. 0:00:00;561;27.12.2021. 0:00:00;Mirko Ilibašić;KLASA: UP/I-612-01/21-01/0047;27.12.2021. 0:00:00;;;
KAZ-263;Umjetnička organizacija Kazališna družina Susret;+385915354935 ;;kazalisnadruzinasusret@gmail.com ;Osječko-baranjska;Osijek;Princa Eugena Savojskog 22, Podravlje;Umjetnička organizacija;;Marijan Josipović, Nikolina Odobašić;;;;;;;;;;;;26.9.2022. 0:00:00;;26.9.2022. 0:00:00;584;10.10.2022. 0:00:00;Marijan Josipović;Klasa: UP/I-611-09/22-01/0033;10.10.2022. 0:00:00;;;
KAZ-289;Kazališna družina "Poligon";0919089428,0958517220;;uopoligon@gmail.com;Osječko-baranjska;Osijek;Ulica Dobriše Cesarića 38;Umjetnička organizacija;;Jura Ruža, Martina Terzić;;;;Umjetnička organizacija "Poligon";Osječko-baranjska;Osijek;Ulica Dobriše Cesarića 38;;;;;30.8.2024. 0:00:00;;30.8.2024. 0:00:00;637;9.9.2024. 0:00:00;Jura Ruža;;9.9.2024. 0:00:00;;Kazališna družina "Poligon" je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije "Poligon".   Ravnatelj Kazališne družine "Poligon" i umjetnički voditelj Umjetničke organizacije "Poligon" je Jura Ruža. ;
KAZ-284;Kazališna družina "LUIKA";+385916116296;;luikateatar@gmail.com;Osječko-baranjska;Osijek;Voćarska 3;Umjetnička organizacija;;Goran Guksić, Tamara Kučinović;;;;Umjetnička organizacija "LUIKA";Osječko-baranjska;Osijek;Voćarska 3;;;;;18.6.2024. 0:00:00;;18.6.2024. 0:00:00;628;16.7.2024. 0:00:00;Goran Guksić;KLASA: UP/I-611-09/24-01/0026;16.7.2024. 0:00:00;;;
KAZ-283;Kazališna družina Čarobna komedija;+385915152072;;klaunspartanko@gmail.com;Splitsko-dalmatinska;Split;Tijardovićeva 2;Trgovačko društvo;;Nikola Barbarić;;;;Trgovačko društvo Čarobna komedija j.d.o.o.;Splitsko-dalmatinska;Split;Tijardovićeva 2;;;;OU-269/2023-1;26.6.2023. 0:00:00;;;;;Vanja Barbarić;;24.7.2024. 0:00:00;;Kazališna družina Čarobna komedija je posebna ustrojstvena jedinica u sklopu Trgovačkog društva Čarobna komedija j.d.o.o. ;
KAZ-238;Umjetnička organizacija Kazališna družina Momo       ;095/810 62 81;;stipe.gugic@gmail.com;Splitsko-dalmatinska;Sinj;Put Župića 6;Umjetnička organizacija;;Stipe Gugić, Mario Tomašević;;;;;;;;;;;;2.4.2021. 0:00:00;;2.4.2021. 0:00:00;534;9.4.2021. 0:00:00;Stipe Gugić;KLASA: UP/I-612-01/21-01/0014;9.4.2021. 0:00:00;;;
KAZ-230;Kazališna družina Naturščik          ;091/591 6682;;uonaturscik@gmail.com;Splitsko-dalmatinska;Split;Mosećka 110;Umjetnička organizacija;;Karolina Šuša, Ivana Bandalo;;;;Umjetnička organizacija Naturščik;Splitsko-dalmatinska;Split;Mosećka 10;;;;;9.9.2020. 0:00:00;;9.9.2020. 0:00:00;517;23.9.2020. 0:00:00;Karolina Šuša;KLASA:UP/I-612-01/20-01/0030;23.9.2020. 0:00:00;;;
KAZ-299;Kazališna družina ANTENA KOLEKTIV;091/896 5860;;;Splitsko-dalmatinska;Split;Kralja Zvonimira 85;Umjetnička organizacija;;Sunčica Fradelić, Nina Bačun, Tonči Kranjčević, Kristina Lovrić;;;;Umjetnička organizacija ANTENA KOLEKTIV;Splitsko-dalmatinska;Split;Kralja Zvonimira 85;;;;;14.2.2025. 0:00:00;;14.2.2025. 0:00:00;646;10.3.2025. 0:00:00;Kristina Lovrić;UP/I-611-09/25-01/0009;10.3.2025. 0:00:00;Kazališna družina ANTENA KOLEKTIV je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije ANTENA KOLEKTIV. Umjetnička voditeljica Umjetničke organizacije je ujedno i ravnateljica Kazališne družine.;;
KAZ-260;Kazališna družina Provincija   ;099/503 08 59;;uoprovincija@gmail.com;Istarska;Svetvinčenat;Svetvinčenat 35;Umjetnička organizacija;;Marija Ferlin, Mauricio Ferlin;;;;Umjetnička organizacija Provincija;Istarska;Svetvinčenat;Svetvinčenat 35;;;;;19.3.2022. 0:00:00;;19.3.2022. 0:00:00;569;8.4.2022. 0:00:00;Matija Ferlin;KLASA: UP/I-611-09/22-01/0012;8.4.2022. 0:00:00;;;
KAZ-254;Umjetnička organizacija Kazališna družina Boss Teatar  ;098/9264166;;boss.teatar@gmail.com;Krapinsko-zagorska;Bedekovčina;Poznanovec, Narodnih heroja 11;Umjetnička organizacija;;Denis Bosak, Vini Jurčić;;;;;;;;;;;;15.3.2022. 0:00:00;;15.3.2022. 0:00:00;567;18.3.2022. 0:00:00;Denis Bosak;KLASA: UP/I-611-09/22-01/0009;18.3.2022. 0:00:00;;;
