Ime i prezime autora;Naslov djela na stranom jeziku;Naslov djela na hrvatskom jeziku;Strani jezik;Ime i prezime prevoditelja;Izdavac;Urednik;Naziv biblioteke;Godina izdanja;Mjesto izdanja;Zemlja izdanja;Tip izdanja;Naziv publikacije;Vrsta teksta;ISBN;ISSN;Izvor;Anotacija;
Tomislav  Bakarić;La muerte de Stjepan Radić;Smrt Stjepana Radića;španjolski;Ana Blažeković;Hrvatski centar ITI-Unesco;;Biblioteka Mansioni;1998;Zagreb;Hrvatska;1;;drama;953-6343-11-8;;Crolist/NSK;;
Antun  Šoljan;Zradci/Kratki izlet;Izdajice/Kratki izlet;češki;Dušan Karpatsky;Vydalo nakladatelstvi Havran, s.r.o.;Irena Wenigova;Edice Kamikaze, sv. 14;2005;Praha;Češka;1;;proza - roman;80-86515-52-4;;strana potpora Ministarstva kulture;;
Ivan Goran Kovačić;The Pit;Jama;engleski;Alec Brown;Matica hrvatska;Alec Brown;;1961;Zagreb;Hrvatska;1;;pjesništvo;;;Twentieth century croatian poetry in translation/NSK, Crolist;;
Slavko Mihalić;Atlantis:selected poems 1953-1982;Atlantida;engleski;Charles Simic, Peter Kastmiler;Greenfield Center, N.Y: The Greenfield Review Press;;Greenfield Review chapbook, 61;1983;New York;SAD;1;;pjesništvo;0-912678-61-5;;Crolist/NSK;;
Slavko Mihalić;Atlantida;Atlantida;albanski;Hasan Mekuli;Rilindja;;Biblioteka Orfeu;1988;Priština;Albanija;1;;pjesništvo;;;Crolist/NSK;;
Slavko Mihalić;Atlantisz;Atlantida;mađarski;Acs Karoly;Forum;;;1987;Novi Sad;Jugoslavija (bivša);1;;pjesništvo;86-323-0125-X;;Crolist/NSK;;
Dubravka Ugrešić;In the jaws of life;Štefica Cvek u raljama života;engleski;Celia Hawkesworth, Michael Henry Heim;Northwestern University Press;;Writings from an unbound Europe, Literature in translation, 4;1988;Evanston;SAD;1;;proza - roman;0810111004 pbk.;;Central European University Library;;
Irena  Vrkljan;Marina or about biography;Marina ili O biografiji;engleski;Celia Hawkesworth;Durieux;;;1991;Zagreb;Hrvatska;1;;proza - roman;8676490066 pbk.;;Central European University Library;;
Slavko Mihalić;La poésie croate: des origines á nos jours;NA;francuski;Janine Matillon, Michele Hurset i dr.;Seghers;;;1972;Paris;Francuska;1;;pjesništvo;nedostupan;;Central European University Library/Crolist, NSK;;
Miljenko  Jergović;Sarajevo Marlboro;Sarajevski Marlboro;engleski;Stela Tomašević;Penguin Books;;;1997;London;Velika Britanija;1;;proza - novela/kratka priča;0140260714 pbk.;;Central European University Library;;
Miroslav Krleža;The return of Philip Latinowicz;Povratak Filipa Latinovicza;engleski;Zora Depolo;Northwestern University Press;;European classics;1995;Evanston;SAD;1;;proza - roman;0810112469 pbk.;;Central European University Library;;
Dubravka Ugrešić;The museum of unconditional surrender;Muzej bezuvjetne predaje;engleski;Celia Hawkesworth;New Directions ;;;1999;New York;SAD;1;;proza - roman;0811214214 hb.;;Central European University Library/NSK;;
Dubravka Ugrešić;Das Museum der bedingungslosen Kapitulation ;Muzej bezuvjetne predaje;njemački;Barbara Antkowiak;Suhrkamp Verlag;;;1998;Frankfurt am Main ;Njemačka;1;;proza - roman;351840973-5 (pogrešan);;Crolist/NSK;;
Slavenka Drakulić;The Balkan express: fragments from the other side of  war;Balkan express ;engleski;Slavenka Drakulić;Hutchinson;;;1993;London;Velika Britanija;1;;esejistika/književna kritika/znanost o književnosti;0091775272 pbk.;;Central European University Library;;
Slavenka Drakulić;Café Europa : life after communism;Café Europa;engleski;Slavenka Drakulić;Abacus;;;1996;London;Velika Britanija;1;;esejistika/književna kritika/znanost o književnosti;0-349-10729-7 pbk.;;Central European University Library;;
Slavenka Drakulić;Holograms of fear;Hologrami straha;engleski;Ellen Elias-Bursac, Slavenka Drakulić;The Women&#39s Press;;;1993;London;Velika Britanija;1;;proza - roman;0-7043-4335-5;;Crolist/NSK;;
Slavenka Drakulić;How we survived communism and even laughed;Kako smo preživjeli komunizam i čak se smijali;engleski;Slavenka Drakulić;Vintage Books;;;1992;London;Velika Britanija;1;;proza - feljton;0099265710 pbk.;;Central European University Library;;
Dubravka Ugrešić;Fording the stream of consciousness;Forsiranje romana reke ;engleski;Michael Henry Heim;Northwestern University Press;;Writings from an unbound Europe;1993;Evanston;SAD;1;;proza - roman;0810110997 pbk.;;Central European University Library;;
Dubravka Ugrešić;Have a nice day: from the Balkan War to the American dream;NA;engleski;Celia Hawkesworth;J. Cape;;;1994;London;Velika Britanija;1;;esejistika/književna kritika/znanost o književnosti;0224038850 pbk.;;Central European University Library;;
Nedjeljko  Fabrio;Das Haar der Berenice : Familienfuge;Berenikina kosa;njemački;Klaus Detlef Olof;Wieser Verlag;;;2004;Wien-Klagenfurt;Austrija;1;;proza - roman;3-85129-040-2, 3-85129-082-8;;www.d-nb.de;;
Slavko Mihalić;Stille Scheiterhaufen;Tihe lomače;njemački;Klaus Detlef Olof;;;;1990;Klagenfurt/Salzburg;Austrija;1;;pjesništvo;3 851290208;;www.wieser-verlag.com;;
Slobodan Novak;Piccolo mondo perduto;Izgubljeni zavičaj;talijanski;Lionello Costantini?;Hefti Edizioni;;;1992;Milano;Italija;1;;proza - roman;88-85933-01-7;;Crolist/NSK;;
Dragutin  Tadijanović;La verdure de la terre;NA;francuski;Jeanine Matillon, Jugoslav Gospodnetić;Editions Saint-Germain-des-Pres,DHK, MH, Prosvjeta;Jugoslav Gospodnetić;Poesie sans frontiere;1991;Paris, Zagreb, Bjelovar;Francuska;1;;pjesništvo;86-401-0131-0;;Crolist/NSK;;
Luko Paljetak;Ubežne pesmi;Izbjegle pjesme;slovenski;Tone Pretnar;Mladinska knjiga;;;1991;Ljubljana, Zagreb;Slovenija;1;;pjesništvo;86-11-07849-7;;Crolist/NSK;;
Slavenka Drakulić;Das Liebesopfer;Božanska glad;njemački;Astrid Philippsen;Aufbau Verlag;;;1997;Berlin;Njemačka;1;;proza - roman;3-351-02833-4;;Croatian Authors Abroad â€“ Selected Bibliography 1990-2003;;
Slavenka Drakulić;Das Liebesopfer;Božanska glad;njemački;Astrid Philippsen;Aufbau Taschenbuch Verlag;;;2000;Berlin;Njemačka;1;;proza - roman;3-7466-1239-X;;Croatian Authors Abroad â€“ Selected Bibliography 1990-2003;;
Ivan Golub;L&#39uomo di terra;Kalnovečki razgovori;talijanski;Marina Lipovac Gatti;Hefti edizioni;;;1995;Milano;Italija;1;;esejistika/književna kritika/znanost o književnosti;88-85933-00-1;;Crolist/NSK;;
 skupina autora;Points d&#39exclamation : anthologie de la poesie croate;NA;francuski;Vanda Mikšić;Editions Caracteres;Tonko Maroević;Collection Unesco d&#39oeuvres represantatives;2003;Paris;Francuska;1;;pjesništvo;2-85446-338-2;;Crolist/NSK;;
Robert Perišić;Vse te smešne zgodbe;NA;slovenski;Dušan Čater;Študentska založba;Mitja Čander;Knjižna zbirka Beletrina;2002;Ljubljana;Slovenija;1;;proza - novela/kratka priča;961-6446-10-X;;http://www.cobiss.si;;
Jurica Pavičić;Nachtbus nach Triest;Ovce od gipsa;njemački;Brigitte Kleidt;Verlagshaus No. 8;;;2001;Wetzlar;Njemačka;1;;proza - roman;3-934763-06-5;;Croatian Authors Abroad â€“ Selected Bibliography 1990-2003;;
Julijana Matanović;Warum ich euch belogen habe;Zašto sam vam lagala;njemački;Barbara Antowiak;Frankfurter Verlagsanstalt;;;2000;Frankfurt am Main;Njemačka;1;;proza - roman;;;Croatian Authors Abroad â€“ Selected Bibliography 1990-2003;;
