PPG,ECTS,Naziv,Sifra,TipSP,VrstaSP,Izvodjac,Nositelj,Trajanje,IzvodjacMjesto,JezikIzvođenja,NacinIzvođenja,Akademski_stupanj,Vrsta_ustanove_nositelja
2.02.  TEHNIČKE ZNANOSTI / Brodogradnja,120,Brodogradnja ,2375,sveučilišni,diplomski sveučilišni studij,"Fakultet elektrotehnike, strojarstva i brodogradnje, Split",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,magistar/magistra inženjer/inženjerka brodogradnje,Javno
2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport,180,Logistika i mobilnost ,2376,stručni,preddiplomski stručni studij,"Sveučilište Sjever, Koprivnica","Sveučilište Sjever, Koprivnica",3,KOPRIVNICA,hrvatski jezik,klasično,stručni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) inženjer/ inženjerka tehničke i gospodarske logistike,Javno
,180,Računarstvo; smjer: Programsko računarstvo ,2378,stručni,preddiplomski stručni studij,"Visoka škola za menadžment i dizajn Aspira, Split ","Visoka škola za menadžment i dizajn Aspira, Split ",3,SPLIT,hrvatski jezik; engleski jezik,klasično,,Privatno 
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Sudska medicina,2380,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra sudske medicine,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Nefrologija,2381,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra nefrologije,Javno
2.11.  TEHNIČKE ZNANOSTI / Strojarstvo,180,Mehatronika ,2383,stručni,preddiplomski stručni studij,"Istarsko veleučilište, Pula ","Istarsko veleučilište, Pula ",3,PULA,hrvatski jezik,klasično,stručni prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka strojarstva,Privatno 
1.04.  PRIRODNE ZNANOSTI / Kemija,120,Kemija; istraživački smjer ,2385,sveučilišni,diplomski sveučilišni studij,Sveučilište u Osijeku - Odjel za kemiju,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/magistra kemije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,120,Poslovna ekonomija i globalizacija ,2387,sveučilišni,diplomski sveučilišni studij,"Libertas Međunarodno sveučilište, Zagreb ","Libertas Međunarodno sveučilište, Zagreb ",2,ZAGREB,hrvatski jezik,klasično,magistar/magistra ekonomije,Privatno 
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Opća kirurgija ,2388,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra opće kirurgije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,180,Fizioterapija ,2389,sveučilišni,preddiplomski sveučilišni studij,"Libertas Međunarodno sveučilište, Zagreb ","Libertas Međunarodno sveučilište, Zagreb ",3,ZAGREB,hrvatski jezik,klasično,sveučilišni prvostupnik/prvostupnica (baccalaureus/baccalaurea) fizioterapije,Privatno 
8.05.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI / Obrazovne znanosti,180,Cjeloživotno obrazovanje i obrazovne znanosti ,2390,sveučilišni,poslijediplomski sveučilišni studiji,"Učiteljski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,"doktor/doktorica znanosti, interdisciplinarno područje znanosti, znanstveno polje obrazovnih znanosti",Javno
