Ime županije;Ime grada/općine;MBR naselja;Ime naselja;RBR ulice/trga;Ime ulice/trga;Opis značenja imena ulice/trga
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0002;Antolkovići;Antolković / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0003;Barberići;Barberić / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0004;Beštaki;Beštak / prezime starosjedilaca
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0005;Blažerova ulica;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0006;Črešnjevečka ulica;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0007;Črešnjevečki odvojak;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0008;Ulica Dragutina M. Domjanića;"Dragutin Milivoj Domjanić / pjesnik; 1875-1933"
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0009;Keleminovići;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0010;Ulica kneza Adama;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0011;Livadarska ulica;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0012;Ulica Matije Gupca;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0013;Šoštarići;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0014;Trumbetašići;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0015;Turčinov put;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0016;Vukekova ulica;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0017;Zenki;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0018;Jesenovečka cesta;Jesenovec / negdašnje selo i potok, dio kaptolskog posjeda kod Kašine/predjel grada Zagreba
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0024;Prigorska ulica;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0025;Hermešćeci odvojak;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0026;Paunići odvojak;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0027;Mokrička ulica;Mokrice / dvorac u Sloveniji, XVst
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0028;Mokrički odvojak;Mokrice / dvorac u Sloveniji, XVst
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0029;Filipčićev put;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0030;Hrušćinje;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0031;Vinska cesta;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0032;Vinska cesta I. odvojak;
Grad Zagreb;GRAD ZAGREB;000027;Adamovec;0033;Vinska cesta II. odvojak;
